I (uA),V_s (uV)
-338.0,-1.3399999999999999
-334.0,-1.5930434782608696
-330.0,-1.9457142857142855
-326.0,-2.4144262295081966
-322.0,-2.705230769230769
-318.0,-2.7478787878787876
-314.0,-2.5789830508474574
-310.0,-2.2551724137931033
-306.0,-1.694915254237288
-302.0,-1.0622222222222222
-298.0,-0.16788732394366196
-294.0,0.6882758620689655
-290.0,1.4855384615384615
-286.0,2.2727868852459014
-282.0,2.7845161290322578
-278.0,3.12625
-274.0,3.2078688524590167
-270.0,3.095849056603773
-266.0,2.7895081967213113
-262.0,2.3134426229508196
-258.0,1.752857142857143
-254.0,1.2129032258064516
-250.0,0.43466666666666665
-246.0,-0.3329032258064516
-242.0,-1.0317241379310345
-238.0,-1.6929032258064516
-234.0,-2.216
-229.99999999999997,-2.557142857142857
-225.99999999999997,-2.715151515151515
-222.00000000000003,-2.689655172413793
-218.00000000000003,-2.47741935483871
-214.0,-1.9946666666666668
-210.0,-1.3729032258064517
-206.0,-0.6090322580645161
-202.0,0.256
-198.0,1.0853333333333335
-194.0,1.9075
-190.0,2.5832258064516127
-186.0,3.0549999999999997
-182.0,3.3114285714285714
-178.0,3.38
-174.0,3.16
-170.0,2.7432258064516133
-166.0,2.16
-162.0,1.469090909090909
-158.0,0.952
-154.0,0.11058823529411765
-150.0,-0.6213333333333334
-146.0,-1.2941176470588236
-142.0,-1.9019354838709677
-138.0,-2.345806451612903
-134.0,-2.533333333333333
-130.0,-2.5647058823529414
-126.0,-2.413793103448276
-122.0,-2.130666666666667
-118.0,-1.68
-113.99999999999999,-1.0423529411764705
-110.00000000000001,-0.28413793103448276
-106.0,0.5035294117647059
-102.0,1.367741935483871
-98.0,1.9496296296296296
-94.0,2.601290322580645
-90.0,3.0974358974358975
-86.0,3.3333333333333335
-82.0,3.36
-78.0,3.117837837837838
-74.0,2.803076923076923
-70.0,2.1939393939393943
-66.0,1.4941935483870967
-62.0,0.5900000000000001
-57.99999999999999,-0.20444444444444443
-54.0,-0.8748387096774194
-50.0,-1.4584615384615385
-46.0,-2.0282352941176467
-42.0,-2.4457142857142857
-38.0,-2.6836363636363636
-34.0,-2.69
-30.0,-2.5799999999999996
-26.0,-2.1642105263157894
-22.0,-1.5561290322580645
-18.0,-0.8845714285714285
-14.000000000000002,-0.17538461538461536
-10.0,0.568
-6.0,1.3699999999999999
-2.0,2.1152941176470588
2.0,2.68
6.0,3.061818181818182
10.0,3.2251428571428575
14.000000000000002,3.163636363636364
18.0,2.8853333333333335
22.0,2.4210526315789473
26.0,1.9103999999999999
30.0,1.264
34.0,0.5875
38.0,-0.16941176470588235
42.0,-0.8969696969696969
46.0,-1.555294117647059
50.0,-2.0826666666666664
54.0,-2.446060606060606
57.99999999999999,-2.6836363636363636
62.0,-2.696774193548387
66.0,-2.5458823529411765
70.0,-2.1675
74.0,-1.6099999999999999
78.0,-0.9125
82.0,-0.06787878787878789
86.0,0.8644444444444443
90.0,1.7624242424242422
94.0,2.424
98.0,2.9525
102.0,3.28
106.0,3.3866666666666663
110.00000000000001,3.27
113.99999999999999,2.9625806451612906
118.0,2.448
122.0,1.8133333333333332
126.0,1.0799999999999998
130.0,0.32235294117647056
134.0,-0.46352941176470586
138.0,-1.14
142.0,-1.5255172413793103
146.0,-2.041212121212121
150.0,-2.4324324324324325
154.0,-2.5670588235294116
158.0,-2.536774193548387
162.0,-2.3093333333333335
166.0,-1.9702857142857142
170.0,-1.3733333333333333
174.0,-0.6344827586206896
178.0,0.024
182.0,0.776
186.0,1.4849999999999999
190.0,2.258947368421053
194.0,2.8891428571428572
198.0,3.2133333333333334
202.0,3.3828571428571426
206.0,3.2676923076923075
210.0,3.0245161290322584
214.0,2.5577142857142854
218.00000000000003,1.953939393939394
222.00000000000003,1.1066666666666665
225.99999999999997,0.37793103448275867
229.99999999999997,-0.37485714285714283
234.0,-1.1811764705882353
238.0,-1.7478787878787878
242.0,-2.2425806451612904
246.0,-2.5342857142857143
250.0,-2.711578947368421
254.0,-2.673548387096774
258.0,-2.421176470588235
262.0,-1.9854545454545454
266.0,-1.3668571428571428
270.0,-0.6916129032258064
274.0,0.17411764705882352
278.0,0.9977777777777779
282.0,1.6707692307692308
286.0,2.34
290.0,2.8213333333333335
294.0,3.1565714285714286
298.0,3.211764705882353
302.0,3.04
306.0,2.715
310.0,2.189714285714286
314.0,1.5657142857142856
318.0,0.952
322.0,0.24000000000000002
326.0,-0.49212121212121207
330.0,-1.2
334.0,-1.8211764705882354
338.0,-2.2870588235294114
342.0,-2.635
346.0,-2.7474285714285713
350.0,-2.67
354.0,-2.367058823529412
358.0,-1.8870588235294117
362.0,-1.195151515151515
366.0,-0.40914285714285714
370.0,0.45066666666666666
374.0,1.2955555555555556
378.0,2.1129411764705885
382.0,2.689032258064516
386.0,3.1411764705882352
390.0,3.3280000000000003
394.0,3.313939393939394
398.0,3.0715151515151513
401.99999999999994,2.621714285714286
405.99999999999994,1.8829629629629627
409.99999999999994,1.1449180327868853
413.99999999999994,0.3745454545454545
418.0,-0.38303030303030305
422.0,-1.1139393939393938
426.0,-1.7244444444444444
430.0,-2.181935483870968
434.0,-2.413333333333333
438.0,-2.44
